6TSL_AOI22_acceff	4.27263e-15	4.36927e-15	4.46887e-15	4.57321e-15	4.68195e-15	4.79052e-15	4.90034e-15	5.01093e-15	5.12202e-15	5.23692e-15	5.34684e-15	5.45849e-15	5.56756e-15	5.68011e-15
6TSL_AOI22_acreff	6.17785e+03	5.26004e+03	4.58842e+03	4.08187e+03	3.68580e+03	3.36980e+03	3.11136e+03	2.89846e+03	2.71981e+03	2.56560e+03	2.43420e+03	2.32225e+03	2.22211e+03	2.13300e+03
6TSL_OAI21	2.34718e+01	2.04480e+01	1.82719e+01	1.66502e+01	1.54069e+01	1.44291e+01	1.36548e+01	1.30256e+01	1.25070e+01	1.20754e+01	1.17125e+01	1.14152e+01	1.11559e+01	1.09327e+01
6TSL_OAI21_iddq	5.39735e-08	5.70599e-08	6.02851e-08	6.36546e-08	6.71796e-08	7.08933e-08	7.48013e-08	7.89369e-08	8.33222e-08	8.80240e-08	9.30978e-08	9.86433e-08	1.04794e-07	1.11788e-07
6TSL_OAI21_iddarail	8.43578e-05	1.09171e-04	1.36659e-04	1.66533e-04	1.98728e-04	2.33022e-04	2.69041e-04	3.06957e-04	3.46329e-04	3.87285e-04	4.29659e-04	4.73013e-04	5.17745e-04	5.63677e-04
6TSL_OAI21_acceff	3.96565e-15	4.06347e-15	4.16573e-15	4.26944e-15	4.37723e-15	4.48607e-15	4.59492e-15	4.70653e-15	4.81538e-15	4.92520e-15	5.03476e-15	5.14476e-15	5.25318e-15	5.36105e-15
6TSL_OAI21_acreff	5.91879e+03	5.03216e+03	4.38624e+03	3.89985e+03	3.51978e+03	3.21643e+03	2.97171e+03	2.76755e+03	2.59731e+03	2.45175e+03	2.32632e+03	2.21879e+03	2.12365e+03	2.03929e+03
6TSL_OAI22	2.44787e+01	2.13310e+01	1.90669e+01	1.73745e+01	1.60867e+01	1.50697e+01	1.42574e+01	1.36020e+01	1.30555e+01	1.26124e+01	1.22357e+01	1.19178e+01	1.16366e+01	1.14156e+01
6TSL_OAI22_iddq	5.17392e-08	5.45730e-08	5.75262e-08	6.06015e-08	6.38323e-08	6.72129e-08	7.07767e-08	7.45515e-08	7.85705e-08	8.28837e-08	8.75744e-08	9.27369e-08	9.85545e-08	1.05260e-07
6TSL_OAI22_iddarail	8.84074e-05	1.14267e-04	1.42845e-04	1.74041e-04	2.07430e-04	2.43096e-04	2.80820e-04	3.20171e-04	3.61236e-04	4.03632e-04	4.47622e-04	4.92980e-04	5.39850e-04	5.86706e-04
6TSL_OAI22_acceff	4.33379e-15	4.43638e-15	4.54337e-15	4.65571e-15	4.77017e-15	4.88750e-15	5.00749e-15	5.12612e-15	5.24267e-15	5.36114e-15	5.47935e-15	5.59778e-15	5.71320e-15	5.82630e-15
6TSL_OAI22_acreff	5.64833e+03	4.80820e+03	4.19663e+03	3.73188e+03	3.37234e+03	3.08332e+03	2.84721e+03	2.65347e+03	2.49025e+03	2.35256e+03	2.23306e+03	2.12902e+03	2.03678e+03	1.95932e+03
7TSL_INV	8.18245	7.36066	6.75968	6.30937	5.96818	5.69928	5.48405	5.31606	5.17365	5.06008	4.96547	4.89498	4.82946	4.77143
7TSL_INV_iddq	1.08719e-07	1.15780e-07	1.23207e-07	1.31034e-07	1.39294e-07	1.48020e-07	1.57252e-07	1.67033e-07	1.77414e-07	1.88477e-07	2.00306e-07	2.13030e-07	2.26852e-07	2.42018e-07
7TSL_INV_iddarail	3.23573e-04	4.08561e-04	5.01528e-04	6.01780e-04	7.08115e-04	8.20611e-04	9.39443e-04	1.06190e-03	1.19053e-03	1.32299e-03	1.45978e-03	1.59783e-03	1.74144e-03	1.89035e-03
